[2025-10/02/25-26 : 14:26:42] Luminosidade: 222.50 lux || Umidade: 78.22 || Temperatura: 23.27 C°
[2025-10/02/25-26 : 14:26:44] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.29 C°
[2025-10/02/25-26 : 14:26:46] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.25 C°
[2025-10/02/25-26 : 14:26:49] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.91 C°
[2025-10/02/25-26 : 14:26:51] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 25.09 C°
[2025-10/02/25-26 : 14:26:53] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 25.83 C°
[2025-10/02/25-26 : 14:26:56] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 25.85 C°
[2025-10/02/25-26 : 14:26:58] Luminosidade: 1489.17 lux || Umidade: 78.22 || Temperatura: 25.51 C°
[2025-10/02/25-27 : 14:27:00] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 25.29 C°
[2025-10/02/25-27 : 14:27:03] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 25.10 C°
[2025-10/02/25-27 : 14:27:05] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 24.97 C°
[2025-10/02/25-27 : 14:27:07] Luminosidade: 216.67 lux || Umidade: 78.22 || Temperatura: 24.85 C°
[2025-10/02/25-27 : 14:27:09] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 24.74 C°
[2025-10/02/25-27 : 14:27:12] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 24.61 C°
[2025-10/02/25-27 : 14:27:14] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 24.54 C°
[2025-10/02/25-27 : 14:27:16] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 24.47 C°
[2025-10/02/25-27 : 14:27:19] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 24.41 C°
[2025-10/02/25-27 : 14:27:21] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 24.38 C°
[2025-10/02/25-27 : 14:27:23] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 24.31 C°
[2025-10/02/25-27 : 14:27:26] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 24.28 C°
[2025-10/02/25-27 : 14:27:28] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 24.25 C°
[2025-10/02/25-27 : 14:27:30] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 24.20 C°
[2025-10/02/25-27 : 14:27:32] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 24.17 C°
[2025-10/02/25-27 : 14:27:35] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 24.13 C°
[2025-10/02/25-27 : 14:27:37] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 24.08 C°
[2025-10/02/25-27 : 14:27:39] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 24.06 C°
[2025-10/02/25-27 : 14:27:42] Luminosidade: 217.50 lux || Umidade: 78.22 || Temperatura: 24.04 C°
[2025-10/02/25-27 : 14:27:44] Luminosidade: 221.67 lux || Umidade: 78.22 || Temperatura: 24.02 C°
[2025-10/02/25-27 : 14:27:46] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.99 C°
[2025-10/02/25-27 : 14:27:49] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.91 C°
[2025-10/02/25-27 : 14:27:51] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.90 C°
[2025-10/02/25-27 : 14:27:53] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.87 C°
[2025-10/02/25-27 : 14:27:56] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.87 C°
[2025-10/02/25-27 : 14:27:58] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.87 C°
[2025-10/02/25-28 : 14:28:00] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.85 C°
[2025-10/02/25-28 : 14:28:02] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.81 C°
[2025-10/02/25-28 : 14:28:05] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.79 C°
[2025-10/02/25-28 : 14:28:07] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.76 C°
[2025-10/02/25-28 : 14:28:09] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.70 C°
[2025-10/02/25-28 : 14:28:12] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.68 C°
[2025-10/02/25-28 : 14:28:14] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.65 C°
[2025-10/02/25-28 : 14:28:16] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.60 C°
[2025-10/02/25-28 : 14:28:19] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.59 C°
[2025-10/02/25-28 : 14:28:21] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.54 C°
[2025-10/02/25-28 : 14:28:23] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.52 C°
[2025-10/02/25-28 : 14:28:25] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.47 C°
[2025-10/02/25-28 : 14:28:28] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.46 C°
[2025-10/02/25-28 : 14:28:30] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.41 C°
[2025-10/02/25-28 : 14:28:32] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.42 C°
[2025-10/02/25-28 : 14:28:35] Luminosidade: 219.17 lux || Umidade: 78.22 || Temperatura: 23.37 C°
[2025-10/02/25-28 : 14:28:37] Luminosidade: 220.00 lux || Umidade: 78.22 || Temperatura: 23.40 C°
[2025-10/02/25-28 : 14:28:39] Luminosidade: 218.33 lux || Umidade: 78.22 || Temperatura: 23.38 C°
[2025-10/02/25-28 : 14:28:42] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.37 C°
[2025-10/02/25-28 : 14:28:44] Luminosidade: 220.83 lux || Umidade: 78.22 || Temperatura: 23.34 C°
